;id;titulo;descricao;data_divulgacao;tipo_id;tipo;produto_id;nome_produto;alias_produto;descricao_produto;ano_referencia_inicio;mes_referencia_inicio;ano_referencia_fim;mes_referencia_fim;link
30;2193;Índice Nacional de Preços ao Consumidor Amplo;;08/07/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;6;0;0;
31;2192;Índice Nacional de Preços ao Consumidor Amplo;;09/06/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;5;0;0;
32;2191;Índice Nacional de Preços ao Consumidor Amplo;;11/05/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;4;0;0;
33;2190;Índice Nacional de Preços ao Consumidor Amplo;;08/04/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;3;0;0;
34;2189;Índice Nacional de Preços ao Consumidor Amplo;;11/03/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;2;0;0;
35;2188;Índice Nacional de Preços ao Consumidor Amplo;;09/02/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2022;1;0;0;
36;1537;Índice Nacional de Preços ao Consumidor Amplo;;11/01/2022 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;12;0;0;
37;1528;Índice Nacional de Preços ao Consumidor Amplo;;10/12/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;11;0;0;
38;1507;Índice Nacional de Preços ao Consumidor Amplo;;10/11/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;10;0;0;
39;1499;Índice Nacional de Preços ao Consumidor Amplo;;08/10/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;9;0;0;
40;1483;Índice Nacional de Preços ao Consumidor Amplo;;09/09/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;8;0;0;
41;1469;Índice Nacional de Preços ao Consumidor Amplo;;10/08/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;7;0;0;
42;1461;Índice Nacional de Preços ao Consumidor Amplo;;08/07/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;6;0;0;
43;1447;Índice Nacional de Preços ao Consumidor Amplo;;09/06/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;5;0;0;
44;1431;Índice Nacional de Preços ao Consumidor Amplo;;11/05/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;4;0;0;
45;1420;Índice Nacional de Preços ao Consumidor Amplo;;09/04/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;3;0;0;
46;1409;Índice Nacional de Preços ao Consumidor Amplo;;11/03/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;2;0;0;
47;1399;Índice Nacional de Preços ao Consumidor Amplo;;09/02/2021 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2021;1;0;0;
48;1241;Índice Nacional de Preços ao Consumidor Amplo;;12/01/2021 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;12;0;0;
49;1228;Índice Nacional de Preços ao Consumidor Amplo;;08/12/2020 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;11;0;0;
50;1213;Índice Nacional de Preços ao Consumidor Amplo;;06/11/2020 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;10;0;0;
51;1206;Índice Nacional de Preços ao Consumidor Amplo;;09/10/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;9;0;0;
52;1191;Índice Nacional de Preços ao Consumidor Amplo;;09/09/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;8;0;0;
53;1178;Índice Nacional de Preços ao Consumidor Amplo;;07/08/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;7;0;0;
54;1171;Índice Nacional de Preços ao Consumidor Amplo;;10/07/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;6;0;0;
55;1158;Índice Nacional de Preços ao Consumidor Amplo;;10/06/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;5;0;0;
56;1142;Índice Nacional de Preços ao Consumidor Amplo;;08/05/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;4;0;0;
57;1135;Índice Nacional de Preços ao Consumidor Amplo;;09/04/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;3;0;0;
58;1122;Índice Nacional de Preços ao Consumidor Amplo;;11/03/2020 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;2;0;0;
59;1112;Índice Nacional de Preços ao Consumidor Amplo;;07/02/2020 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2020;1;0;0;
60;772;Índice Nacional de Preços ao Consumidor Amplo;;10/01/2020 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;12;0;0;
61;770;Índice Nacional de Preços ao Consumidor Amplo;;06/12/2019 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;11;0;0;
62;768;Índice Nacional de Preços ao Consumidor Amplo;;07/11/2019 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;10;0;0;
63;766;Índice Nacional de Preços ao Consumidor Amplo;;09/10/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;9;0;0;
64;764;Índice Nacional de Preços ao Consumidor Amplo;;06/09/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;8;0;0;
65;762;Índice Nacional de Preços ao Consumidor Amplo;;08/08/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;7;0;0;
